[Item Amount],vp数字,费用数字,text_top,text_top:color,text_owner,text_card_type,text_bottom,牌面背景:color,[Item Note]
1,0,0,人何以堪,,{common},"<align=""center"">{card_mechanism}</align>",{force}选择1个[幕僚]区空位最少的{player}，该{player}选择1个{fee}最高的[幕僚]{save}。将主版图{discard}牌区洗回牌库。摸1张牌。,#882420FF,
1,0,0,功高不赏,,{common},"<align=""center"">{card_mechanism}</align>",{force}选择1个[{contirbution}]最高的{player}，该{player}-1[{contirbution}]并+6{vp}。摸1张牌。,#882420FF,
1,0,0,流民四起,,{common},"<align=""center"">{card_mechanism}</align>",{force}在{jin}和{north}{discard}牌区各放置1张{refugee}。摸1张牌。,#882420FF,
1,0,0,天师道,,{common},"<align=""center"">{card_mechanism}</align>",{force}选择1个{NeoTaosim}{district}的{location}，转为{neutral}{control}。摸1张牌。,#882420FF,
1,0,0,衣冠南渡,,{common},"<align=""center"">{card_mechanism}</align>",{force}在{jin}{discard}牌区各放置1张{refugee}，{north}{player}{discard}1张{hand}。将主版图{discard}牌区洗回牌库。摸1张牌。,#882420FF,
1,0,0,名教之争,,{common},"<align=""center"">{card_mechanism}</align>",{force}如果{Confusion}{district}数>={NeoTaosim}{district}数，{sima}{prestige}+1；否则{sima}{prestige}-1。摸1张牌。,#882420FF,
1,9,1,我见犹怜,#292929FF,{common},"<align=""center"">{card_event}-{power}</align>",{control}[巴蜀]时，可以{play}。{save}{this}。,#F5EDDAFF,
1,9,3,西域征伐,#292929FF,{common},"<align=""center"">{card_event}-{military}</align>",{control}[西凉]时，可以{play}。{save}{this}。将{reserve}的2个{army}放回游戏盒中。,#F5EDDAFF,
1,9,3,高句丽征伐,#292929FF,{common},"<align=""center"">{card_event}-{military}</align>",{control}[幽燕]时，可以{play}。{save}{this}。将{reserve}的2个{army}放回游戏盒中。,#F5EDDAFF,
1,7,1,还都洛阳,#292929FF,{common},"<align=""center"">{card_event}-{power}</align>",{only}{jin}{player}{play}。{occupy}[洛阳]时，可以{play}。{save}{this}。{urusp}交换{jin}{capital}和洛阳的{army}。获得1[{prestige}]。,#F5EDDAFF,
1,4,2,华阳国志,#292929FF,{common},"<align=""center"">{card_event}-{culture}</align>",{friend_player}{control}[巴蜀]时，可以{play}。{save}{this}，传播1次{Confusion}。,#F5EDDAFF,
1,16,3,孙子算经,#292929FF,{common},"<align=""center"">{card_event}-{culture}</align>",具有至少4个不同的标记时，可以{play}。{save}{this}。,#F5EDDAFF,
1,13,2,流芳百世,#292929FF,{common},"<align=""center"">{card_event}-{culture}</align>",史书区有至少7张牌时，可以{play}，{save}{this}。,#F5EDDAFF,
1,12,2,一往情深,#292929FF,{common},"<align=""center"">{card_event}-{culture}</align>",有至少3个{culture}符号时，可以{play}，{save}{this}。,#F5EDDAFF,
1,3,1,毛宝,,{common},"<align=""center"">{card_friend}-{military}</align>",{action}1{battle}。,#3E5F91FF,
1,4,2,朱龄石,,{common},"<align=""center"">{card_friend}-{military}</align>",{action}1{battle}。{newline}{passive}每次[{march}]后，获得1{vp}。,#3E5F91FF,
1,6,3,陶侃,,{common},"<align=""center"">{card_friend}-{power}</align>",{action}{pay}2{battle}，免费[{march}]1次。{newline}{enter}{supplant}1个{sima}{occupy}{location}。,#3E5F91FF,
1,7,3,兰亭集序,#292929FF,{common},"<align=""center"">{card_event}-{culture}</align>",传播1次{NeoTaosim}，然后{save}{this}。,#F5EDDAFF,
1,7,3,洛神赋图,#292929FF,{common},"<align=""center"">{card_event}-{culture}</align>",传播1次{Confusion}，然后{save}{this}。,#F5EDDAFF,
1,9,2,吕他墓表,#292929FF,{common},"<align=""center"">{card_event}-{culture}</align>",{save}{this}。,#F5EDDAFF,
1,9,3,桃花源记,#292929FF,{common},"<align=""center"">{card_event}-{culture}</align>",{save}{this}。{end}获得X {vp}，X={north}和{jin}国家牌库中{refugee}的数量。,#F5EDDAFF,
1,5,0,北征赋,#292929FF,{common},"<align=""center"">{card_event}-{power}</align>",拥有{expedition}时，可以{play}，{save}{this}。,#F5EDDAFF,
1,6,1,搜神记,#292929FF,{common},"<align=""center"">{card_event}-{culture}</align>",{save}{this}。,#F5EDDAFF,
1,9,2,璇玑图,#292929FF,{common},"<align=""center"">{card_event}-{culture}</align>",{save}{this}。,#F5EDDAFF,
1,4,2,菩萨木像,#292929FF,{common},"<align=""center"">{card_event}-{culture}</align>",传播1次{Buddhist}，然后{save}{this}。,#F5EDDAFF,
1,8,3,胡笳羌笛,#292929FF,{common},"<align=""center"">{card_event}-{culture}</align>",{save}{this}。{end}获得X {vp}，X=存在你的{army}的{district}数量。,#F5EDDAFF,
1,6,2,清商乐,#292929FF,{common},"<align=""center"">{card_event}-{culture}</align>",{friend_player}{control}[江南]时，可以{play}。传播1次{Confusion}，{save}{this}。,#F5EDDAFF,
